mode,time_min_s,time_mean_s,peak_mem_mb
eager,1.4740707874298096,7.31537143389384,8892.60546875
lazy,0.46222424507141113,0.5368334452311198,7823.16015625
streaming,0.48241448402404785,0.6221334139506022,7856.01953125
